sku	product_type	categories	name	description	short_description	weight	price	url_key	meta_title	meta_keywords	meta_description	qty
11644000691	simple	Default Category	All Clad Professional Tools Fork 	All Clad Professional Tools Fork 		1	23.99	All-Clad-Professional-Tools-Fork	All Clad Professional Tools Fork 	All Clad Professional Tools Fork 	All Clad Professional Tools Fork 	100
11644000707	simple	Default Category	All Clad Professional Tools Ladle 	All Clad Professional Tools Ladle 		1	23.99	All-Clad-Professional-Tools-Ladle	All Clad Professional Tools Ladle 	All Clad Professional Tools Ladle 	All Clad Professional Tools Ladle 	100
11644000714	simple	Default Category	All Clad Professional Tools Pasta Ladle 	All Clad Professional Tools Pasta Ladle 		1	23.99	All-Clad-Professional-Tools-Pasta-Ladle	All Clad Professional Tools Pasta Ladle 	All Clad Professional Tools Pasta Ladle 	All Clad Professional Tools Pasta Ladle 	100
11644000721	simple	Default Category	All Clad Professional Tools Small Turner 	All Clad Professional Tools Small Turner 		1	23.99	All-Clad-Professional-Tools-Small-Turner	All Clad Professional Tools Small Turner 	All Clad Professional Tools Small Turner 	All Clad Professional Tools Small Turner 	100
11644000738	simple	Default Category	All Clad Professional Tools Large Slotted Turner 	All Clad Professional Tools Large Slotted Turner 		1	23.99	All-Clad-Professional-Tools-Large-Slotted-Turner	All Clad Professional Tools Large Slotted Turner 	All Clad Professional Tools Large Slotted Turner 	All Clad Professional Tools Large Slotted Turner 	100
11644000745	simple	Default Category	All Clad Professional Tools Skimmer 	All Clad Professional Tools Skimmer 		1	23.99	All-Clad-Professional-Tools-Skimmer	All Clad Professional Tools Skimmer 	All Clad Professional Tools Skimmer 	All Clad Professional Tools Skimmer 	100
11644001025	simple	Default Category	All Clad Professional Tools Locking Tongs 12" 	All Clad Professional Tools Locking Tongs 12" 		1	25.99	All-Clad-Professional-Tools-Locking-Tongs-12	All Clad Professional Tools Locking Tongs 12" 	All Clad Professional Tools Locking Tongs 12" 	All Clad Professional Tools Locking Tongs 12" 	100
11644001032	simple	Default Category	All Clad Professional Tools Large Soup Ladle 	All Clad Professional Tools Large Soup Ladle 		1	23.99	All-Clad-Professional-Tools-Large-Soup-Ladle	All Clad Professional Tools Large Soup Ladle 	All Clad Professional Tools Large Soup Ladle 	All Clad Professional Tools Large Soup Ladle 	100
11644001971	simple	Default Category	All Clad Professional Tools Pizza Cutter 	All Clad Professional Tools Pizza Cutter 		1	23.99	All-Clad-Professional-Tools-Pizza-Cutter	All Clad Professional Tools Pizza Cutter 	All Clad Professional Tools Pizza Cutter 	All Clad Professional Tools Pizza Cutter 	100
11644002039	simple	Default Category	AC PRO. TOOLS WHISK 12" (NR)	AC PRO. TOOLS WHISK 12" (NR)		1	23.99	AC-PRO.-TOOLS-WHISK-12-(NR)	AC PRO. TOOLS WHISK 12" (NR)	AC PRO. TOOLS WHISK 12" (NR)	AC PRO. TOOLS WHISK 12" (NR)	100
11644002046	simple	Default Category	All Clad Professional Tools Whisk Large 	All Clad Professional Tools Whisk Large 		1	25.99	All-Clad-Professional-Tools-Whisk-Large	All Clad Professional Tools Whisk Large 	All Clad Professional Tools Whisk Large 	All Clad Professional Tools Whisk Large 	100
11644004545	simple	Default Category	All Clad Professional Tools Flexible Solid Tuner 	All Clad Professional Tools Flexible Solid Tuner 		1	23.99	All-Clad-Professional-Tools-Flexible-Solid-Tuner	All Clad Professional Tools Flexible Solid Tuner 	All Clad Professional Tools Flexible Solid Tuner 	All Clad Professional Tools Flexible Solid Tuner 	100
11644007928	simple	Default Category	All Clad Professional Tools Flexible Slotted Turner 	All Clad Professional Tools Flexible Slotted Turner 		1	23.99	All-Clad-Professional-Tools-Flexible-Slotted-Turner	All Clad Professional Tools Flexible Slotted Turner 	All Clad Professional Tools Flexible Slotted Turner 	All Clad Professional Tools Flexible Slotted Turner 	100
11644010317	simple	Default Category	All Clad Professional Tools Cook Serve Spoon	All Clad Professional Tools Cook Serve Spoon		1	19.99	All-Clad-Professional-Tools-Cook-Serve-Spoon	All Clad Professional Tools Cook Serve Spoon	All Clad Professional Tools Cook Serve Spoon	All Clad Professional Tools Cook Serve Spoon	100
